Species	PDI	Box	Id	is.exploring	speed_cm_per_min	sinuosity	Body_mass_g	Shell_size_cm	Foot_dry_mass_mg
Helix_pomatia	0.67	H_pomatia_2	H_pomatia_2_B71	0	NA	NA	20.686	3.9	719.3
Helix_pomatia	0.67	H_pomatia_2	H_pomatia_2_B72	1	1.81	0.48	17.956	3.8	546
Helix_pomatia	0.67	H_pomatia_2	H_pomatia_2_B73	0	NA	NA	17.3799	3.8	468.9
Helix_pomatia	0.67	H_pomatia_3	H_pomatia_3_B74	1	3.04	0.38	27.8809	4.3	1045.1
Helix_pomatia	0.67	H_pomatia_3	H_pomatia_3_B75	0	NA	NA	20.0555	3.7	638.8
Helix_pomatia	0.67	H_pomatia_3	H_pomatia_3_B76	1	1.29	0.65	25.3248	3.95	888.7
Helix_pomatia	0.67	H_pomatia_3	H_pomatia_3_B77	0	NA	NA	31.9576	4.25	1003.7
Helix_pomatia	0.67	H_pomatia_3	H_pomatia_3_B78	0	NA	NA	19.4202	3	635.8
Helix_pomatia	0.67	H_pomatia_4	H_pomatia_4_B79	1	3.07	0.48	4.1593	2.15	99.6
Helix_pomatia	0.67	H_pomatia_4	H_pomatia_4_B80	0	NA	NA	7.1244	2.4	264.2
Helix_pomatia	0.67	H_pomatia_4	H_pomatia_4_B81	1	1.31	0.7	5.3479	2.45	138
Helix_pomatia	0.67	H_pomatia_4	H_pomatia_4_B82	0	NA	NA	5.9723	2.4	226.3
Helix_pomatia	0.67	H_pomatia_4	H_pomatia_4_B83	1	2.95	0.45	3.1076	2	90.3
Monacha_cantiana	0.67	M_cantiana_1	M_cantiana_1_bleu	1	2.01	0.37	0.7386	1.27	NA
Monacha_cantiana	0.67	M_cantiana_1	M_cantiana_1_jaune	1	2.56	0.34	0.881	1.41	6.5
Monacha_cantiana	0.67	M_cantiana_1	M_cantiana_1_noir	1	1.48	0.74	0.7884	1.32	6.8
Monacha_cantiana	0.67	M_cantiana_1	M_cantiana_1_orange	0	NA	NA	0.8168	1.39	6.4
Monacha_cantiana	0.67	M_cantiana_1	M_cantiana_1_rien	1	2.62	0.26	0.7722	1.41	11.7
Monacha_cantiana	0.67	M_cantiana_2	M_cantiana_2_bleu	0	NA	NA	0.8528	1.33	5.1
Monacha_cantiana	0.67	M_cantiana_2	M_cantiana_2_jaune	0	NA	NA	0.8698	1.34	6.7
Monacha_cantiana	0.67	M_cantiana_2	M_cantiana_2_noir	0	NA	NA	0.6551	1.33	3.2
Monacha_cantiana	0.67	M_cantiana_2	M_cantiana_2_orange	1	1.23	0.59	0.858	1.41	NA
Monacha_cantiana	0.67	M_cantiana_3	M_cantiana_3_bleu	1	3.09	0.2	0.8025	1.37	5.2
Monacha_cantiana	0.67	M_cantiana_3	M_cantiana_3_jaune	1	2.58	0.21	0.8191	1.28	NA
Monacha_cantiana	0.67	M_cantiana_3	M_cantiana_3_noir	0	NA	NA	0.8279	1.4	NA
Monacha_cantiana	0.67	M_cantiana_3	M_cantiana_3_orange	0	NA	NA	0.674	1.15	NA
Monacha_cantiana	0.67	M_cantiana_3	M_cantiana_3_rien	0	NA	NA	0.5751	1.19	NA
Monacha_cartusiana	0.53	M_cartusiana_1	M_cartusiana_1_Bl21	1	2.64	0.85	0.244	0.9	NA
Monacha_cartusiana	0.53	M_cartusiana_1	M_cartusiana_1_I21	0	NA	NA	0.244	0.9	4.4
Monacha_cartusiana	0.53	M_cartusiana_1	M_cartusiana_1_Ja21	1	2.68	0.5	NA	0.95	NA
Monacha_cartusiana	0.53	M_cartusiana_1	M_cartusiana_1_N21	1	3.58	0.43	0.282	1	3.2
Monacha_cartusiana	0.53	M_cartusiana_1	M_cartusiana_1_Nn21	1	0.87	1	0.315	1.1	5.3
Monacha_cartusiana	0.53	M_cartusiana_2	M_cartusiana_2_Bl22	1	2.75	0.36	0.437	1.1	3.1
Monacha_cartusiana	0.53	M_cartusiana_2	M_cartusiana_2_I22	1	3.52	0.59	0.394	1.1	4.5
Monacha_cartusiana	0.53	M_cartusiana_2	M_cartusiana_2_Ja22	0	NA	NA	0.28	1.05	5
Monacha_cartusiana	0.53	M_cartusiana_2	M_cartusiana_2_N22	1	2.74	0.21	0.525	1.15	9
Monacha_cartusiana	0.53	M_cartusiana_2	M_cartusiana_2_Nn22	1	3.78	0.38	0.426	1.1	4.8
Monacha_cartusiana	0.53	M_cartusiana_3	M_cartusiana_3_Bl23	1	3.06	0.93	0.329	1	3.6
Monacha_cartusiana	0.53	M_cartusiana_3	M_cartusiana_3_I23	0	NA	NA	0.243	0.95	3.5
Monacha_cartusiana	0.53	M_cartusiana_3	M_cartusiana_3_Ja23	1	3.76	0.68	0.277	0.9	12.1
Monacha_cartusiana	0.53	M_cartusiana_3	M_cartusiana_3_N23	1	4.96	1.17	0.261	1	3.8
Monacha_cartusiana	0.53	M_cartusiana_3	M_cartusiana_3_Nn23	1	3.02	0.64	0.32	1	2.9
Monacha_cartusiana	0.53	M_cartusiana_4	M_cartusiana_4_Bl24	1	2.77	0.5	0.389	1.05	6.1
Monacha_cartusiana	0.53	M_cartusiana_4	M_cartusiana_4_I24	0	NA	NA	0.218	0.9	4.8
Monacha_cartusiana	0.53	M_cartusiana_4	M_cartusiana_4_Ja24	1	1.91	0.49	0.287	1	4.3
Monacha_cartusiana	0.53	M_cartusiana_4	M_cartusiana_4_N24	1	3.2	0.4	0.454	1.1	NA
Monacha_cartusiana	0.53	M_cartusiana_4	M_cartusiana_4_Nn24	1	2.06	0.52	0.285	1	3.7
Trochoidea_elegans	0.67	T_elegans_1	T_elegans_1_blanc	0	NA	NA	0.1553	0.78	1.3
Trochoidea_elegans	0.67	T_elegans_1	T_elegans_1_bleu	0	NA	NA	0.2134	0.93	1.3
Trochoidea_elegans	0.67	T_elegans_1	T_elegans_1_jaune	1	1.45	0.58	0.2097	0.91	NA
Trochoidea_elegans	0.67	T_elegans_1	T_elegans_1_noir	1	1.36	0.47	0.1657	0.91	1.4
Trochoidea_elegans	0.67	T_elegans_1	T_elegans_1_orange	0	NA	NA	0.1974	0.94	2.1
Trochoidea_elegans	0.67	T_elegans_2	T_elegans_2_blanc	0	NA	NA	0.2072	0.91	1.4
Trochoidea_elegans	0.67	T_elegans_2	T_elegans_2_bleu	1	1.21	1.15	0.191	0.88	1
Trochoidea_elegans	0.67	T_elegans_2	T_elegans_2_jaune	1	1.22	0.57	0.1912	0.82	0.7
Trochoidea_elegans	0.67	T_elegans_2	T_elegans_2_noir	0	NA	NA	0.1513	0.81	NA
Trochoidea_elegans	0.67	T_elegans_2	T_elegans_2_orange	1	0.18	1.4	0.1837	0.96	2.2
Trochoidea_elegans	0.67	T_elegans_3	T_elegans_3_blanc	0	NA	NA	0.1246	0.81	0.7
Trochoidea_elegans	0.67	T_elegans_3	T_elegans_3_bleu	0	NA	NA	0.1553	0.81	6
Trochoidea_elegans	0.67	T_elegans_3	T_elegans_3_jaune	1	0.83	1.16	0.1913	0.83	1.6
Trochoidea_elegans	0.67	T_elegans_3	T_elegans_3_noir	0	NA	NA	0.1458	0.82	0.5
Trochoidea_elegans	0.67	T_elegans_3	T_elegans_3_orange	1	0.97	0.77	0.1633	0.94	1.4
Trochoidea_elegans	0.67	T_elegans_4	T_elegans_4_blanc	0	NA	NA	0.3063	1.03	2.1
Trochoidea_elegans	0.67	T_elegans_4	T_elegans_4_bleu	1	1.36	0.48	0.2308	0.91	2.1
Trochoidea_elegans	0.67	T_elegans_4	T_elegans_4_jaune	1	0.95	0.9	0.207	0.98	1.7
Trochoidea_elegans	0.67	T_elegans_4	T_elegans_4_noir	0	NA	NA	0.2218	0.88	1
Trochoidea_elegans	0.67	T_elegans_4	T_elegans_4_orange	1	1.07	2.26	0.2365	0.99	2.7
Trochulus_hispidus	0.47	T_hispidus_1	T_hispidus_1_Bl9	1	0.62	1.21	0.226	0.85	1.3
Trochulus_hispidus	0.47	T_hispidus_1	T_hispidus_1_I9	1	0.26	1.82	0.221	0.9	1.2
Trochulus_hispidus	0.47	T_hispidus_1	T_hispidus_1_Ja9	0	NA	NA	0.266	0.9	1.6
Trochulus_hispidus	0.47	T_hispidus_1	T_hispidus_1_W9	0	NA	NA	0.26	0.95	1.9
Trochulus_hispidus	0.47	T_hispidus_1	T_hispidus_1_Ww9	0	NA	NA	0.18	0.8	1.5
Trochulus_hispidus	0.47	T_hispidus_2	T_hispidus_2_Bl10	1	1.39	0.64	0.221	0.85	1.9
Trochulus_hispidus	0.47	T_hispidus_2	T_hispidus_2_I10	1	1.1	0.68	0.265	0.9	NA
Trochulus_hispidus	0.47	T_hispidus_2	T_hispidus_2_Ja10	1	1.32	0.62	0.222	0.9	2.7
Trochulus_hispidus	0.47	T_hispidus_2	T_hispidus_2_W10	1	1.52	0.37	0.201	0.8	1.9
Trochulus_hispidus	0.47	T_hispidus_2	T_hispidus_2_Ww10	1	0.26	1.9	0.276	0.9	2.1
Trochulus_hispidus	0.47	T_hispidus_3	T_hispidus_3_Bl11	0	NA	NA	0.164	0.9	1.1
Trochulus_hispidus	0.47	T_hispidus_3	T_hispidus_3_I11	1	1.08	0.61	0.266	0.9	1.7
Trochulus_hispidus	0.47	T_hispidus_3	T_hispidus_3_Ja11	1	1.24	0.77	0.166	0.85	NA
Trochulus_hispidus	0.47	T_hispidus_3	T_hispidus_3_W11	1	1.33	0.55	0.217	0.85	2.2
Trochulus_hispidus	0.47	T_hispidus_3	T_hispidus_3_Ww11	1	1.4	0.68	0.183	0.9	1.6
Trochulus_hispidus	0.47	T_hispidus_4	T_hispidus_4_Bl12	1	1.79	0.59	0.226	0.9	1.4
Trochulus_hispidus	0.47	T_hispidus_4	T_hispidus_4_I12	0	NA	NA	0.195	0.85	1.3
Trochulus_hispidus	0.47	T_hispidus_4	T_hispidus_4_Ja12	1	1.07	0.75	0.258	0.95	2.7
Trochulus_hispidus	0.47	T_hispidus_4	T_hispidus_4_W12	1	1.16	0.63	0.232	0.9	2.2
Trochulus_hispidus	0.47	T_hispidus_4	T_hispidus_4_Ww12	1	1.92	0.46	0.158	0.8	1.2
Theba_pisana	0.87	T_pisana_1	T_pisana_1_Bl1	0	NA	NA	1.23	1.45	NA
Theba_pisana	0.87	T_pisana_1	T_pisana_1_I1	1	2.92	0.8	1.647	1.6	23.3
Theba_pisana	0.87	T_pisana_1	T_pisana_1_Ja1	1	3.32	0.3	1.337	1.5	18.4
Theba_pisana	0.87	T_pisana_1	T_pisana_1_N1	1	3.21	0.43	1.12	1.5	NA
Theba_pisana	0.87	T_pisana_1	T_pisana_1_Nn1	0	NA	NA	1.46	1.6	NA
Theba_pisana	0.87	T_pisana_2	T_pisana_2_Bl2	1	2.75	0.36	1.162	1.35	15
Theba_pisana	0.87	T_pisana_2	T_pisana_2_I2	1	4.53	0.37	1.251	1.45	12.2
Theba_pisana	0.87	T_pisana_2	T_pisana_2_Ja2	1	3.75	0.51	1.287	1.5	15.1
Theba_pisana	0.87	T_pisana_2	T_pisana_2_N2	1	2.08	0.61	1.38	1.55	16.4
Theba_pisana	0.87	T_pisana_2	T_pisana_2_Nn2	1	0.67	1.2	0.927	1.35	10.7
Theba_pisana	0.87	T_pisana_3	T_pisana_3_Bl3	1	3.03	0.73	1.136	1.45	14.2
Theba_pisana	0.87	T_pisana_3	T_pisana_3_I3	1	2.15	0.76	1.067	1.4	10.5
Theba_pisana	0.87	T_pisana_3	T_pisana_3_Ja3	1	2.2	0.43	0.856	1.35	6.8
Theba_pisana	0.87	T_pisana_3	T_pisana_3_N3	1	3.63	1.1	1.158	1.4	11.2
Theba_pisana	0.87	T_pisana_3	T_pisana_3_Nn3	1	3.32	0.61	1.091	1.4	13
Theba_pisana	0.87	T_pisana_5	T_pisana_5_blanc	0	NA	NA	1.9472	1.96	14.4
Theba_pisana	0.87	T_pisana_5	T_pisana_5_bleu	0	NA	NA	1.2233	1.72	11.8
Theba_pisana	0.87	T_pisana_5	T_pisana_5_jaune	0	NA	NA	1.5433	1.83	8
Theba_pisana	0.87	T_pisana_5	T_pisana_5_noir	0	NA	NA	1.6016	1.91	9.9
Theba_pisana	0.87	T_pisana_5	T_pisana_5_orange	0	NA	NA	1.2539	1.71	9.3
Xeropicta_derbentina	0.67	X_derbentina_1	X_derbentina_1_Bl5	1	2.63	0.77	0.395	1.05	7.9
Xeropicta_derbentina	0.67	X_derbentina_1	X_derbentina_1_I5	1	1.73	0.67	0.346	1	3.9
Xeropicta_derbentina	0.67	X_derbentina_1	X_derbentina_1_Ja5	0	NA	NA	0.373	1.05	3.8
Xeropicta_derbentina	0.67	X_derbentina_1	X_derbentina_1_N5	0	NA	NA	0.42	1.05	3.6
Xeropicta_derbentina	0.67	X_derbentina_1	X_derbentina_1_Nn5	0	NA	NA	0.461	1.1	6.4
Xeropicta_derbentina	0.67	X_derbentina_2	X_derbentina_2_Bl6	0	NA	NA	0.42	1.1	NA
Xeropicta_derbentina	0.67	X_derbentina_2	X_derbentina_2_I6	1	3.29	0.4	0.397	1.1	3.7
Xeropicta_derbentina	0.67	X_derbentina_2	X_derbentina_2_Ja6	0	NA	NA	0.395	1.05	7.5
Xeropicta_derbentina	0.67	X_derbentina_2	X_derbentina_2_N6	0	NA	NA	0.526	1.15	8
Xeropicta_derbentina	0.67	X_derbentina_2	X_derbentina_2_Nn6	0	NA	NA	0.377	1.1	5.5
Xeropicta_derbentina	0.67	X_derbentina_3	X_derbentina_3_Bl7	1	3.58	0.37	0.65	1.2	8.8
Xeropicta_derbentina	0.67	X_derbentina_3	X_derbentina_3_I7	1	2.45	0.28	0.59	1.25	6.4
Xeropicta_derbentina	0.67	X_derbentina_3	X_derbentina_3_Ja7	1	1.56	0.55	0.568	1.2	9.3
Xeropicta_derbentina	0.67	X_derbentina_3	X_derbentina_3_N7	0	NA	NA	0.57	1.2	NA
Xeropicta_derbentina	0.67	X_derbentina_3	X_derbentina_3_Nn7	1	3.58	0.55	0.563	1.15	9.5
Xeropicta_derbentina	0.67	X_derbentina_4	X_derbentina_4_Bl8	1	2.29	0.49	0.526	1.2	10.9
Xeropicta_derbentina	0.67	X_derbentina_4	X_derbentina_4_I8	1	1.35	1.4	0.587	1.2	10.2
Xeropicta_derbentina	0.67	X_derbentina_4	X_derbentina_4_Ja8	1	1.69	0.56	0.428	1.1	5.4
Xeropicta_derbentina	0.67	X_derbentina_4	X_derbentina_4_N8	1	2.13	0.89	0.562	1.2	9.3
Xeropicta_derbentina	0.67	X_derbentina_4	X_derbentina_4_Nn8	1	2.46	0.6	0.576	1.3	6.3
